Gene,logFC,logCPM,F,PValue,FDR
INTS1,0.656997505880539,7.37815606545811,76.9613540988276,2.10350671507245e-08,2.22816852407613e-06
CAPN15,0.741206660726093,6.59384583629836,76.8986783449159,2.11766164676493e-08,2.22948451177094e-06
SCRIB,0.826297102221943,7.54847415212342,76.6704128616677,2.17009346964477e-08,2.25291319652479e-06
ADAMTS13,1.18147027786538,3.9883982641983,76.6550358860663,2.17387724870516e-08,2.25291319652479e-06
CLCN7,0.902854401182766,5.46722513714743,76.5818261813041,2.19086346537702e-08,2.25291319652479e-06
CDK4,0.983896252958893,7.03830018872213,76.5763765589565,2.19210828805841e-08,2.25291319652479e-06
ATG3,-0.616489781029078,6.71280157494038,76.496859166393,2.21091390585723e-08,2.25879523659947e-06
SAMD11,0.84724890053059,6.02897963306517,76.4248451882762,2.22810451010899e-08,2.26296779244364e-06
PPIG,-1.00936956908647,7.41560179578508,76.2283390546474,2.27573864251801e-08,2.29783060828748e-06
CCDC91,-0.926847325177967,4.59140771545718,76.0321823469931,2.32447639635956e-08,2.33243048525636e-06
TRPC4AP,0.684533061195321,6.59628158813674,75.9633612437854,2.34176159932105e-08,2.33243048525636e-06
CCDC112,-1.15874434344233,4.90097294494155,75.9288418967885,2.35053228561685e-08,2.33243048525636e-06
PDCD5,-0.771118124752393,7.4153761023189,75.8387790767688,2.37352311576785e-08,2.34178572096272e-06
RPL36AL,-0.761556245148234,7.44928233961635,75.6593072582466,2.42011622780267e-08,2.36300471837336e-06
MNAT1,-0.687647378969518,5.95423026432004,75.6506176810791,2.42240145460491e-08,2.36300471837336e-06
NADK,0.756649999803517,6.08456626301207,75.5850473742388,2.43969391600016e-08,2.36650309852015e-06
HES4,0.995443542762919,7.13896528344854,75.5249687063997,2.45564989621796e-08,2.36867324626253e-06
RPSA,0.817886413181836,10.1263291298423,75.4088968493423,2.48681060234548e-08,2.38540399222761e-06
NSRP1,-1.0630485889124,5.46188643101231,75.2663495633931,2.5256855506741e-08,2.40930865844967e-06
HOXC8,-0.921899012814124,3.85524630942211,75.2070956668714,2.54217879638039e-08,2.41171753287384e-06
NEFM,-0.900903349100813,7.15303913597811,74.689227733096,2.68998073088494e-08,2.53798946991581e-06
RABAC1,1.06962204507521,5.81580654389982,74.6323988969089,2.70680814421509e-08,2.53998638141401e-06
FKBP3,-0.621763259325082,7.26265621356895,74.5176523440791,2.74106265932979e-08,2.55822637167504e-06
PIGO,0.767589382997624,5.128850267212,74.1794018873722,2.84497171891631e-08,2.62977127284965e-06
HOXC4,-0.655085655806462,6.29299823987789,74.0781509044522,2.87683689833206e-08,2.62977127284965e-06
ANP32B,-0.748139976818807,8.7317367662047,74.0319785624828,2.89152010681238e-08,2.62977127284965e-06
ATN1,-0.724185650384681,7.37421355267667,74.0067239834667,2.8995885933207e-08,2.62977127284965e-06
RAB6A,-0.728307505672201,6.65238712008296,73.9962615974302,2.90293938461091e-08,2.62977127284965e-06
TMEM98,0.836611775972859,5.44938019763624,73.9551685888239,2.9161837151612e-08,2.62977127284965e-06
CFDP1,-0.825535497320295,7.07175435724196,73.9297327238361,2.92433733572995e-08,2.62977127284965e-06
EXT2,0.717973006034822,6.19766753681696,73.7311915208793,2.98923922062911e-08,2.67420748100426e-06
UQCRB,-0.888242739635428,8.22117091391487,73.3126816386409,3.13126615499803e-08,2.76318421865506e-06
FOXG1,-0.684314599053272,5.42582861013011,73.236885670016,3.15778552483931e-08,2.76318421865506e-06
LRFN4,1.32012116276572,4.82006546453993,73.2324925944394,3.15943888222882e-08,2.76318421865506e-06
SNX3,-0.650266604431773,7.23826734852207,73.2080692278458,3.16791616688335e-08,2.76318421865506e-06
KIF26A,0.878442236114669,5.35024956905965,73.2059583907708,3.16871583049752e-08,2.76318421865506e-06
CCAR1,-0.774565510248939,7.93404833095301,73.122284066253,3.19832030635813e-08,2.77498484470249e-06
