Genes,CTRL_IgG_1,CTRL_IgG_2,TERT_IR_1,TERT_IR_2
RPS18,4.917530419,4.948711942,5.866959733,5.793360023
PHF8,1.535286278,1.910154195,3.944896972,3.714835587
LMNB1,2.069610292,2.702988984,3.787754902,3.986776042
HNRNPH2,3.374569798,1.571364771,5.502255009,5.462053516
INA,3.181082428,3.308710058,4.114742421,3.81894773
LAS1L,1.786251805,1.297754589,4.430465055,3.904230045
EPB41L3,1.898895904,1.829011465,3.144444786,2.763338219
FAM98A,3.313256368,2.519294805,5.447755709,5.346130417
PCNT,1.222018534,0.949249737,2.203568721,2.112484364
FLOT2,3.590040002,3.061826598,4.557626176,4.438537662
MTREX,1.441360926,1.666783,3.691444519,3.647197475
SRP72,1.670564711,1.521107383,3.027694935,1.058503155
EFHD1,3.430406082,3.560725038,5.053826704,4.889349206
PPP1CC,2.831102979,3.354197037,4.944124189,4.848116923
CSDE1,2.211435039,1.583819344,4.397321374,4.477641124
KIF23,1.551551656,1.540755378,3.784994773,3.723425401
PDCD6IP,1.324931604,1.960551011,3.766363137,3.579714682
NOP56,2.225743139,2.897811654,4.79415305,4.730522007
SAFB,1.560045616,1.111361993,1.694578096,1.468965705
SRSF6,1.899858174,3.090175294,5.48756392,5.361210031
RPSA,3.47587049,3.458552743,5.337862489,5.125997997
RPS16,5.054703615,4.590335697,5.755165509,5.803921732
ZBTB11,1.564695563,1.340348108,3.141215035,3.196817077
ANXA2,1.552471709,1.252927572,1.520262919,1.28955451
RPL23A,4.611191398,4.357890518,6.752135848,6.508983299
CORO1C,3.397679669,3.017763209,5.031227753,4.829245059
POP1,1.18260956,1.87912227,3.985605752,3.912783546
YWHAZ,3.606855681,2.579003353,5.148464657,4.889104914
RBM39,2.248601235,2.798121705,5.06207112,4.945354445
CHD1,1.40629188,1.525083838,2.445333212,1.173609497
NEFM,2.52458114,3.437047814,4.526875924,4.231680218
ARHGEF12,2.043627184,1.334994153,1.520909264,1.706022835
MRPS7,1.261090319,1.899959258,5.116242888,4.593797505
DDX54,1.177663604,1.549074109,4.000852976,3.815591967
GSN,3.056816016,3.439898608,4.481575356,4.455692847
ITPR2,1.344176061,1.622421453,3.516140258,2.995357482
ARHGAP11A,1.126974792,1.620631361,3.95384654,3.815806055
EPB41L2,1.600926577,2.292104936,3.946207551,3.587169087
CDC42BPA,2.086355476,2.715189586,4.309038865,4.039572996
LIMCH1,1.595045969,1.655695792,1.999656528,1.32856991
IQGAP1,1.566178632,1.822648165,3.756522334,3.233314731
FLG2,2.102253246,1.908643088,1.361905992,1.423292438
ITPRID2,2.650707256,2.891044524,4.153859129,3.558181658
SRSF5,2.305896797,1.770139432,5.719812331,5.578040266
ATP5F1B,3.807329623,3.394564617,5.131010668,5.05564457
HSPD1,3.803412991,3.369382846,5.751846716,5.644888557
SMPDL3B,3.513372411,3.632167605,4.691423918,4.529579129
TMOD1,3.366619193,3.596561474,4.670799528,4.580146735
KPNB1,2.171149513,3.017479883,5.176002378,4.999141583
CGN,2.599031488,2.973606507,3.720506489,3.446628573
KPNA1,1.705681984,1.630489504,4.561961402,4.488528179
FARP2,1.338402541,2.468051206,4.166342333,3.938038037
ABLIM1,1.204581027,2.634456892,3.815967266,3.404471439
CTTN,1.487657799,2.40174292,4.442594028,4.429500616
RPL39,6.120433237,1.577621842,5.951317312,6.234741942
YTHDC1,1.785615019,1.767368314,4.195842558,4.055987837
HNRNPL,1.712226769,1.498368432,4.940291165,4.884480066
WDR18,1.696219783,1.345426695,4.170371231,4.037504797
PATJ,1.186785157,1.974806892,3.261589794,2.952946535
EPB41L5,2.985176773,2.568903632,3.896188265,3.75099483
TAF6,1.422865796,1.396395375,1.59357686,1.631433074
PKM,3.484629087,1.478078356,4.206399698,4.117047403
FMNL2,1.787704835,2.517761268,3.929909331,3.826414043
DDX10,1.767449695,1.834718401,3.446042709,2.865003059
AHCY,1.655969135,2.136713554,2.588868473,3.481584532
TCOF1,2.856624605,2.757186667,4.046364631,3.823994575
MAP7D1,1.07129728,1.710113363,4.169790111,3.562517325
MRPS25,1.271722846,1.670136854,5.186270065,4.952924476
COPA,0.970370011,2.185751923,4.354205272,4.280950484
ADAR,1.364527506,1.129246685,4.296729013,4.159506612
TRIM26,1.792605959,1.249889296,3.933173464,3.492740103
MRPS34,1.230280382,2.021494548,5.105033455,5.164817642
WDR61,1.534420441,1.957149346,3.372117933,1.614367028
PLS3,1.667838563,2.535082883,4.287993178,4.112321597
POLDIP3,2.28921205,3.149240728,4.852760991,4.714990789
SENP3,1.119133832,1.613786752,1.422878115,3.390891999
SSRP1,0.883984401,2.518348508,4.8851643,4.64136844
CEP78,1.99494614,1.830215453,4.162895717,3.894063847
LEO1,1.862643399,1.547976935,0.863661651,1.134617595
YWHAG,2.787436748,3.158517387,4.878051647,4.061985502
ARPC1A,2.760976792,3.252828318,4.47072637,4.422321097
MCM7,2.403128631,2.834334799,4.895653913,4.80906698
RBM12B,1.563950574,1.417459303,2.277404325,2.299126112
FAU,5.599616772,5.381712296,5.728045819,5.711951352
SRSF10,1.979821942,1.790237429,5.041276885,4.88603908
LUZP1,2.140132735,1.955755447,3.572622468,3.320962595
MKI67,1.703593866,1.159215249,3.875543372,3.61993802
MPDZ,1.388710245,1.826684769,3.539182457,3.532428622
TERT,3.79582181,3.301614203,7.13198569,7.037200133
HP1BP3,1.36230188,1.148849645,4.348494252,4.530854263
PKP1,2.139386798,1.869184685,1.401460338,1.299303565
SF3B3,1.357953047,2.547794857,4.58934301,4.502891277
PDHB,2.79434135,3.249952929,4.572112793,4.540397506
CEP131,1.294586657,2.359032585,3.259592931,3.01749264
PELP1,2.068330452,1.772171797,4.465108737,4.263187094
IGF2BP3,2.678319173,2.84071529,5.539629057,5.386657873
IWS1,1.213397274,1.208802573,1.787170312,1.920139962
RPLP0,3.296427685,3.925938092,5.868901396,5.710009918
AP2A1,1.381418592,1.987730345,3.951882531,3.705502064
RPN1,2.027469033,2.550968459,4.473650729,4.330556292
ITPR3,1.76857561,1.907379652,3.650466149,3.17615089
PKP2,2.250572148,2.65792087,4.347236619,4.00136403
DDX18,1.530849022,2.228803487,4.327221063,4.162200301
GTF3C1,1.419346065,1.07311291,3.804889296,3.41691513
EEF1G,3.893057352,3.522592901,5.265648316,5.055356214
TWF1,0.9557104,1.797838868,3.998071022,3.942096099
ABCF2,1.695451235,2.533767998,4.582962246,4.532847749
HCFC1,1.488269357,2.144030764,3.606981909,3.494478272
SPTY2D1,1.629919758,1.454261827,3.280796461,2.499354263
FABP5,3.625897462,3.748156158,1.535970474,1.128490524
FOXA1,2.043515053,1.286341878,1.82763141,1.572481227
SMARCA5,1.294381622,2.030452548,4.40774501,4.076953654
RNPS1,1.290299979,1.112422589,3.461668594,4.021442088
HSPH1,1.725091614,2.1004728,4.510392975,4.405181186
MRPS9,0.810235738,1.348084487,4.514026723,4.285748157
GNA11,2.719948635,3.055969127,4.238851137,3.469668627
MRPL38,1.547554859,1.469139781,3.863354327,3.728802531
RPL34,4.198819357,1.713591313,5.576909272,5.765816958
PIK3R1,1.39016738,1.828637224,3.550435272,3.460239557
CSNK1G3,2.750150391,2.530857128,4.02046808,3.722665612
NONO,3.760616604,3.745017592,5.448060446,5.236478212
PRDX2,3.355310998,1.643671884,4.27665387,4.270788494
TWNK,1.094443978,1.675192141,3.800950746,4.151305785
ARPC1B,2.693440555,2.772209401,4.388989767,4.371643002
LYAR,1.443701117,1.269496509,4.926228045,4.891430483
RACK1,3.276666122,3.488677684,4.978798497,4.749767864
KRT80,2.242671683,2.240456858,2.44340801,1.548480214
C1orf35,3.36958286,3.771631565,4.634197643,4.492154818
TAF4,1.391670091,1.318275325,1.3070399,1.031788539
KIF2C,1.519274835,1.152862792,1.147494638,2.349454927
ZC3H18,0.954509704,1.500228355,4.465403167,3.634277298
EIF4B,1.202570373,1.614508944,1.807879185,1.702926097
SUPT5H,1.534905803,1.416713744,2.054374477,1.542705201
