Genes,293GFPnoIR1_S1,293GFPnoIR2_S2,293GFPnoIR3_S3,293HATertnoIR1_S4,293HATertnoIR2_S5,293HATertnoIR3_S6,293GFPIR1_S7,293GFPIR2_S8,293GFPIR3_S9,293HATertIR1_S10,293HATertIR2_S11,293HATertIR3_S12
BMP2K,289,245,661,493,808,488,509,543,387,385,266,182
PAQR3,1570,1195,3388,2893,4308,2784,2558,2618,1404,1573,872,713
LINC01088,2,10,6,10,11,11,11,6,10,10,7,6
NAA11,0,0,0,2,0,0,0,0,6,2,0,0
GK2,0,0,0,0,0,0,0,0,0,0,0,0
LINC00989,0,0,0,0,0,0,0,0,0,0,0,0
AC092542.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02469,0,0,0,0,0,0,0,0,0,0,0,0
PCAT4,0,0,0,0,0,0,0,0,0,0,0,0
ANTXR2,367,332,799,489,866,596,642,856,382,359,216,144
AC021127.1,5,9,8,6,12,15,4,14,15,7,2,1
PRDM8,83,82,152,110,177,109,144,176,122,114,51,38
FGF5,14,24,86,54,70,43,82,72,33,40,29,14
CFAP299,7,0,5,0,4,5,1,3,2,1,4,0
BMP3,33,40,76,46,71,54,72,91,28,40,20,20
PRKG2,67,66,133,82,166,120,98,133,71,96,36,26
AC139722.1,0,0,0,0,3,0,0,0,0,0,0,0
RASGEF1B,298,279,478,457,723,394,402,546,264,297,164,108
AC124016.2,14,25,39,36,39,31,24,44,28,24,10,4
HNRNPD,15873,17653,29758,29653,42419,27545,28725,40904,21700,25932,13872,10048
AC124016.1,19,19,28,37,36,23,30,34,7,27,10,5
HNRNPDL,15025,16431,30771,26495,39442,25565,28475,39000,19401,23625,12558,9417
ENOPH1,2211,2108,4684,3557,5380,3111,3216,3743,1807,2337,1019,721
TMEM150C,116,151,273,111,307,216,187,234,129,141,109,63
LINC00575,0,0,0,0,0,0,0,0,0,0,0,0
AC067942.4,0,0,0,0,0,0,0,0,0,0,0,0
SCD5,631,609,1239,781,1343,893,937,1287,653,679,392,310
SEC31A,3685,3631,7496,6738,10565,5929,6544,7856,4211,4646,3025,2131
THAP9-AS1,1511,1556,3259,2513,3510,2610,3103,3571,1954,2196,1182,837
THAP9,345,306,622,456,682,457,560,656,333,337,168,137
LIN54,767,748,1792,1458,2087,1428,1702,1723,1082,986,659,580
COPS4,2343,2487,4367,3955,5662,3213,3305,4237,2044,2728,1296,976
AC073840.1,6,6,14,4,2,2,4,4,4,6,2,0
PLAC8,25,37,62,39,74,36,30,64,34,58,18,14
AC114781.2,2,0,4,2,8,5,0,3,0,3,1,0
COQ2,773,886,1407,1065,1750,1148,957,1395,699,978,383,322
HPSE,193,170,287,243,394,277,257,340,177,192,74,89
HELQ,507,436,979,736,1143,719,749,854,492,512,232,185
MRPS18C,466,530,946,731,927,558,497,551,325,427,229,158
ABRAXAS1,300,288,562,438,542,567,440,590,289,294,184,139
GPAT3,362,365,644,446,741,551,438,635,306,388,192,132
AC021192.1,0,0,0,0,0,0,0,1,0,0,0,0
AC079160.1,21,18,74,31,54,38,28,26,23,17,12,15
AC104063.1,0,0,0,0,0,2,0,0,0,0,0,0
NKX6-1,365,472,782,589,1033,625,652,990,425,503,266,221
CDS1,803,765,1493,1191,1800,1152,1187,1253,736,838,471,329
WDFY3,1460,1416,3209,2330,3634,2324,2223,2358,1365,1241,890,557
WDFY3-AS1,0,0,0,0,0,0,0,0,0,0,0,0
WDFY3-AS2,92,104,250,137,262,190,142,193,124,139,64,59
AC108021.1,1,0,8,1,5,0,0,4,0,4,0,2
ARHGAP24,58,77,111,76,176,99,103,182,78,77,40,37
MAPK10,45,51,105,48,93,51,53,76,41,48,23,16
AC104827.1,0,0,0,0,0,0,0,0,0,0,0,0
PTPN13,3821,3475,7586,5285,8291,5795,5482,6970,4040,3800,2528,1923
SLC10A6,1,4,2,0,0,0,0,0,0,2,0,2
C4orf36,34,17,35,34,70,38,46,47,12,28,18,6
AC093827.4,33,40,58,47,64,50,43,77,26,37,36,8
AFF1,1419,1318,3209,2203,3819,2367,2206,2623,1603,1645,978,656
KLHL8,1130,1149,2459,2026,3246,1937,1990,2200,1239,1407,780,502
AC108516.1,0,0,0,0,0,0,0,0,0,0,0,0
HSD17B13,14,6,11,8,17,2,11,1,2,7,0,6
HSD17B11,1191,1020,2142,1615,2472,1720,1473,1738,800,1111,532,442
NUDT9,676,804,1316,1246,1844,1154,1187,1677,891,989,586,428
AC112250.2,2,0,0,0,0,0,0,0,0,0,0,0
SPARCL1,9,1,6,6,15,4,8,13,2,8,0,3
AC093895.1,0,2,0,0,0,0,0,0,0,0,0,0
DSPP,0,0,6,2,3,0,0,0,0,0,0,2
DMP1,2,0,0,2,0,0,0,2,0,0,0,0
IBSP,0,0,0,0,0,0,0,0,0,0,0,0
MEPE,0,0,0,0,0,0,0,0,0,0,0,0
AC131944.1,3,2,6,1,4,2,2,0,0,0,2,0
SPP1,0,0,14,2,7,2,2,8,2,3,4,2
PKD2,652,708,1550,1216,1652,1352,1055,1257,723,710,417,308
ABCG2,105,95,190,166,265,148,138,211,91,107,64,38
PPM1K,990,1007,2000,1576,2465,1714,1728,1847,1035,1257,580,419
PPM1K-DT,1,8,2,3,0,5,2,3,4,0,6,0
AC107067.2,0,0,0,0,0,0,1,0,0,0,0,0
AC107067.1,0,0,0,0,0,0,0,0,0,0,0,0
HERC6,168,181,357,281,479,250,238,373,168,221,150,87
HERC5,868,923,1587,1242,1844,1171,1232,1672,847,934,513,360
PYURF,2650,3044,5313,3754,5908,3722,3448,4332,1913,2540,1197,863
PIGY,0,0,0,0,0,0,0,0,0,0,0,0
PIGY-DT,2,1,4,2,10,3,12,12,3,5,6,0
HERC3,659,645,1262,1007,1643,930,938,1115,605,635,342,262
NAP1L5,2,0,0,0,0,0,2,2,4,0,0,2
FAM13A-AS1,53,56,116,73,135,102,116,138,91,48,31,35
FAM13A,934,1059,2183,1721,2365,1494,1629,1792,917,1124,664,485
TIGD2,278,340,569,509,768,461,511,738,370,344,230,152
AC104785.1,2,10,0,4,8,4,4,4,0,4,1,0
GPRIN3,378,320,922,539,984,672,560,596,403,346,173,156
AC093866.1,40,17,60,37,78,89,63,91,48,43,28,26
SNCA,462,515,1007,797,1244,800,850,1124,614,812,434,249
AC097478.1,2,0,0,3,0,2,0,1,2,0,2,6
AC097478.3,0,0,1,0,1,0,0,0,0,1,3,0
AC097478.2,0,4,4,2,0,0,1,0,2,0,0,0
SNCA-AS1,1,5,12,14,7,13,7,14,5,3,6,4
MMRN1,2,0,0,0,0,0,0,0,0,0,0,0
AC105445.1,0,0,0,0,0,0,0,0,0,0,0,0
CCSER1,101,128,242,169,284,180,166,206,93,100,60,42
AC004054.1,0,0,0,0,0,0,0,0,0,0,0,0
AC074124.1,0,0,0,0,0,0,0,0,0,0,0,0
AC093810.1,0,0,0,0,0,0,0,0,0,0,0,0
AC097520.2,0,0,0,0,0,0,0,0,0,0,0,0
LNCPRESS2,0,0,0,0,0,0,0,0,0,0,0,0
AC112695.1,0,0,0,1,0,0,0,2,0,0,0,0
GRID2,22,20,63,38,37,26,31,36,30,16,17,7
AC095059.1,0,0,0,0,0,0,0,0,0,0,0,0
AC110800.1,0,0,0,0,0,0,0,0,0,0,0,0
ATOH1,14,26,44,50,60,36,18,38,36,16,20,12
AC096746.1,0,0,0,0,0,0,0,0,0,0,0,0
SMARCAD1,2537,2415,5243,4384,5792,4292,3892,4649,2816,2887,1692,1174
HPGDS,0,0,0,0,0,0,1,0,0,2,0,0
AC109925.2,0,0,0,1,0,0,0,2,0,0,2,0
PDLIM5,1067,963,2023,1733,2791,1839,1480,1577,897,1016,634,443
AC108067.1,0,0,0,0,0,0,0,0,0,0,0,0
BMPR1B-DT,2,4,0,4,0,0,0,0,0,2,0,0
BMPR1B,149,132,257,209,319,208,284,326,162,153,88,60
UNC5C,342,369,758,550,909,494,459,577,350,273,234,196
AC106881.1,26,20,40,8,32,44,42,43,34,28,12,12
PDHA2,0,0,0,0,0,0,0,0,0,0,0,0
LINC02267,0,0,0,0,0,0,0,0,0,0,0,0
AC096585.1,0,0,0,0,0,0,0,0,0,1,0,0
AC108515.1,0,0,0,0,0,0,0,0,0,0,0,0
STPG2,9,4,4,4,10,0,4,6,8,4,2,2
AC034154.1,0,0,0,0,0,0,0,0,0,0,0,0
STPG2-AS1,0,0,0,0,1,0,0,0,0,0,0,0
AC019077.1,5,0,12,4,4,2,2,5,1,0,1,0
RAP1GDS1,1542,1794,2905,2217,3723,2289,2064,2609,1316,1590,779,591
TSPAN5,742,836,1495,955,1530,1006,940,1003,489,578,296,247
AC108159.1,0,0,0,0,1,0,0,0,0,0,0,0
AC114811.2,10,8,14,18,18,12,14,16,16,6,6,8
EIF4E,1712,1621,3425,3109,4530,2843,2984,3932,2045,2383,1379,1060
AC019131.1,0,0,0,0,0,0,1,0,0,0,0,0
AC019131.3,0,0,4,2,2,0,0,0,0,0,0,0
METAP1,2809,3206,5428,4381,6541,4290,3945,4633,2345,2923,1468,1174
AC019131.2,16,11,22,33,33,32,18,33,6,17,4,4
ADH5,4135,4639,7591,5925,8930,5545,4816,5862,2756,3460,1604,1286
AP002026.1,70,53,104,43,85,69,55,119,47,47,33,24
ADH4,0,3,1,1,0,0,0,1,0,0,0,1
ADH6,7,3,32,16,24,13,22,20,11,14,12,8
ADH1A,0,0,1,0,2,0,0,0,0,0,0,0
ADH1B,1,0,0,0,0,0,0,0,0,0,0,0
ADH1C,0,2,0,0,0,0,0,0,2,0,0,0
ADH7,0,0,0,0,0,0,0,0,0,0,0,0
C4orf17,0,0,2,0,1,0,0,1,0,0,0,0
TRMT10A,571,549,1265,1073,1535,1048,1041,1374,680,749,420,326
MTTP,12,18,11,2,21,10,1,16,2,8,4,0
