Genes,293GFPnoIR1_S1,293GFPnoIR2_S2,293GFPnoIR3_S3,293HATertnoIR1_S4,293HATertnoIR2_S5,293HATertnoIR3_S6,293GFPIR1_S7,293GFPIR2_S8,293GFPIR3_S9,293HATertIR1_S10,293HATertIR2_S11,293HATertIR3_S12
LINC01654,0,0,0,0,0,0,0,0,0,0,0,0
IGSF21,6,4,24,10,15,12,12,30,6,14,2,6
IGSF21-AS1,0,0,0,0,0,0,0,0,0,0,0,0
AL591896.1,0,0,0,0,0,0,0,0,0,0,0,0
KLHDC7A,10,2,8,6,6,4,6,12,8,2,2,0
PAX7,19,24,38,21,30,30,34,29,18,12,8,4
TAS1R2,0,0,2,2,0,0,2,0,0,0,0,0
ALDH4A1,689,861,1340,977,1494,978,750,905,454,498,241,187
IFFO2,620,773,1396,961,1631,1018,1004,1183,623,783,362,274
AL137127.1,22,23,25,16,28,10,24,18,12,2,5,4
UBR4,6106,6350,12411,8548,14414,8904,8286,9554,5122,4390,2951,1987
EMC1-AS1,15,16,21,17,19,19,17,32,16,18,15,7
EMC1,2410,2730,4580,3730,5767,3477,3242,3815,1971,2258,1093,827
MRTO4,2790,3870,5658,5033,7176,4065,4510,5361,2577,3352,1514,1072
AKR7A3,20,24,29,27,54,31,36,38,26,17,12,10
AKR7A2,2250,2854,3914,2786,4513,2735,2420,3144,1467,2019,835,643
SLC66A1,619,828,1232,816,1450,825,771,834,380,545,214,162
CAPZB,3955,5058,7795,6100,10167,6072,5925,7939,3983,5501,2566,1829
MICOS10,1982,2562,3284,2276,3019,1851,1646,2136,1078,1360,667,571
AL031727.2,1,0,0,0,0,0,0,0,0,0,0,0
NBL1,861,1154,1483,1045,1619,1104,940,1104,494,573,288,200
HTR6,160,172,233,106,273,191,161,219,92,126,56,61
TMCO4,150,168,282,205,309,245,211,251,133,150,82,40
RNF186,0,0,0,0,0,0,0,0,0,0,0,0
AL391883.1,0,0,0,0,0,0,0,0,0,0,0,0
OTUD3,1179,1081,2127,1835,2615,1701,1778,1939,1020,1106,639,454
PLA2G2E,0,0,0,1,0,0,0,1,0,0,0,0
PLA2G2A,0,0,0,0,1,0,1,0,0,0,0,0
PLA2G5,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2D,0,0,0,0,2,0,0,0,0,0,0,0
PLA2G2F,0,0,0,0,0,0,0,0,0,0,0,0
Z98257.1,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,0,0,0,0,0,0,0
UBXN10-AS1,0,0,0,0,0,0,0,0,0,0,0,0
UBXN10,0,0,2,0,0,0,0,0,0,0,0,0
LINC01757,0,0,0,0,0,0,0,0,0,0,0,0
Z98257.2,0,0,0,0,0,0,0,0,0,0,0,0
VWA5B1,3,2,5,1,13,6,5,6,0,6,2,2
AL020998.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01141,0,0,1,1,0,2,0,0,1,0,0,0
AL139254.1,0,0,0,0,0,0,0,0,0,0,0,0
AL139254.2,0,0,0,0,0,0,0,0,0,0,0,0
AL139254.3,2,0,0,0,0,0,0,0,0,0,0,0
CAMK2N1,444,582,942,637,1021,868,836,1276,834,844,458,350
MUL1,905,1158,1833,1385,2056,1306,1059,1148,540,662,279,268
FAM43B,113,156,210,120,183,132,116,170,74,90,38,34
CDA,34,26,28,24,40,36,28,36,18,24,20,20
PINK1,875,1051,1673,1213,1982,1214,1073,1278,633,721,277,255
PINK1-AS,109,140,222,194,318,200,198,238,98,137,76,55
DDOST,6951,8504,13877,10200,16104,9713,9025,10809,5266,6123,2501,2144
KIF17,655,737,1291,732,1430,848,800,1104,536,648,405,242
SH2D5,579,759,1180,832,1359,808,703,838,371,496,206,126
AL663074.1,2,1,8,1,0,1,0,0,0,0,0,0
HP1BP3,4597,4604,9881,7807,11700,7805,7629,8988,5259,5325,3096,2241
EIF4G3,6047,6620,12192,10188,15896,9908,10430,13258,7087,7119,4689,3158
AL031005.2,0,2,7,11,2,4,4,0,2,0,2,0
ECE1,1407,1666,2995,2347,3907,2210,2060,2528,1252,1469,787,536
AL031005.1,0,0,0,0,4,8,0,0,2,1,0,0
AL031728.1,4,11,8,1,3,6,2,3,10,0,0,2
AL592309.2,0,0,0,0,0,0,0,0,0,0,0,0
NBPF3,593,698,1206,879,1630,919,868,1054,488,603,322,234
ALPL,194,219,326,276,389,314,305,386,189,208,126,56
LINC02596,0,0,0,0,0,0,0,0,0,0,0,0
RAP1GAP,270,349,609,452,750,448,440,474,224,315,199,141
USP48,3321,3806,6151,4966,7148,4924,4846,6697,3789,3874,2234,1626
LDLRAD2,0,1,3,0,1,0,1,0,0,0,2,0
HSPG2,445,433,855,420,902,633,447,545,242,222,136,98
CELA3B,2,0,0,0,0,0,0,0,0,0,0,0
CELA3A,0,0,0,0,0,0,0,0,0,0,0,0
LINC01635,0,5,6,0,8,2,2,20,0,3,2,6
LINC00339,48,71,125,95,173,135,104,146,101,87,51,6
CDC42,6205,6494,12521,10828,17853,10636,10217,12617,5911,7976,4179,2977
CDC42-AS1,40,9,50,32,40,40,21,27,16,25,3,8
CDC42-IT1,1,1,0,2,0,3,0,0,2,0,2,0
WNT4,14,10,34,8,22,22,15,19,10,12,6,2
AL445253.1,11,2,7,2,24,9,5,10,3,1,0,2
ZBTB40,1629,1776,3098,2474,3757,2573,2401,2779,1467,1502,809,577
ZBTB40-IT1,4,2,7,13,7,4,9,9,4,6,2,3
EPHA8,382,445,718,463,876,458,431,534,213,300,146,84
C1QA,0,0,0,0,0,0,2,0,0,0,0,0
C1QC,0,0,0,0,0,0,0,0,0,0,0,0
C1QB,0,0,0,0,0,0,0,0,0,0,0,0
EPHB2,655,725,1391,922,1827,1041,1126,1295,691,673,370,237
AL512444.1,0,4,0,0,2,0,2,0,0,0,0,0
LACTBL1,0,0,0,0,0,0,0,0,0,0,0,0
TEX46,14,9,13,7,8,13,11,6,8,13,4,2
KDM1A,7115,8642,13627,11320,17763,10615,10626,12910,6643,7795,3918,2790
AL031428.1,0,2,0,0,4,0,0,0,0,0,0,0
LUZP1,1672,1671,3266,2456,3854,2280,2292,2475,1385,1342,870,551
HTR1D,39,54,79,54,89,74,61,96,46,44,40,20
LINC01355,160,154,324,191,302,276,171,192,138,148,68,62
AL109936.6,6,8,20,10,18,9,14,13,4,8,3,1
HNRNPR,11108,11121,22193,20864,31245,20865,22130,30440,15952,17811,10216,7722
ZNF436,524,548,927,743,1329,691,707,903,456,605,359,237
ZNF436-AS1,148,148,199,123,216,168,92,190,87,95,52,59
AL109936.2,0,0,0,0,0,0,0,0,1,2,0,0
TCEA3,14,8,10,10,40,15,20,29,20,32,18,4
ASAP3,500,525,818,618,914,699,567,723,396,367,191,116
E2F2,1370,1465,2433,1639,2890,1712,1729,1949,1023,1085,552,361
AL021154.1,5,3,8,7,9,5,9,2,7,6,2,0
ID3,1513,1956,2682,2521,3869,1978,1812,2146,995,1494,598,410
AL450043.1,0,2,1,0,0,0,0,0,0,2,0,0
MDS2,2,0,0,0,0,0,0,0,0,0,0,0
RPL11,32795,41221,60901,48296,82142,50054,53172,84353,40952,52592,23343,19433
ELOA-AS1,49,61,94,71,100,37,36,79,18,56,21,18
ELOA,2318,2663,4684,4390,6514,3676,3901,4606,2420,2700,1629,1129
PITHD1,1478,1864,3014,2736,3974,2321,2477,3229,1577,2060,948,709
LYPLA2,1553,2102,3102,2353,3796,2176,1881,2300,1097,1386,599,452
GALE,634,852,1347,884,1407,808,813,947,437,530,185,144
HMGCL,632,932,1148,681,1203,867,683,992,516,604,283,215
FUCA1,835,1005,1672,1245,1866,1167,1148,1464,673,797,374,267
CNR2,3,4,0,1,6,0,0,2,2,1,0,0
AL590609.3,0,0,0,0,0,0,0,0,0,0,0,0
PNRC2,2465,2199,4772,3961,6278,3957,4231,5605,2736,3441,1801,1296
SRSF10,6980,6146,15714,13230,18374,12657,12851,14442,8079,8735,4704,3734
AL591178.1,0,0,2,0,0,0,1,0,0,0,0,0
MYOM3,0,4,2,0,8,0,6,2,0,0,0,0
AL591178.2,0,0,0,0,0,0,0,0,0,0,0,0
IL22RA1,0,1,2,0,1,3,2,8,0,0,0,0
IFNLR1,288,285,586,419,775,445,404,500,262,289,137,109
LINC02800,0,0,0,0,2,2,0,0,0,2,0,2
AL138902.1,6,0,4,3,9,6,10,12,7,5,1,0
GRHL3,73,64,129,49,95,59,80,139,68,51,29,20
STPG1,583,616,1153,805,1378,841,779,1069,535,642,305,209
NIPAL3,1132,1304,2211,1643,2702,1688,1615,2051,989,1063,660,487
RCAN3AS,10,2,9,0,8,2,2,2,1,4,3,2
RCAN3,536,467,1157,893,1438,926,844,1033,505,583,312,232
NCMAP-DT,0,0,0,0,0,0,0,0,0,0,0,0
NCMAP,0,0,0,0,2,0,2,4,0,2,0,0
SRRM1,5139,5509,10441,9489,14950,8645,10269,14002,7805,9059,6302,3652
AL445648.1,0,0,0,0,0,0,0,0,0,0,0,0
CLIC4,4167,3196,9892,7323,10756,7851,7025,8528,4398,5003,2612,2167
RUNX3,381,439,777,519,1002,448,600,771,376,418,270,160
AL445471.1,0,2,0,0,0,0,0,0,0,0,0,0
AL445471.2,0,0,0,0,0,0,0,0,0,0,0,0
LINC02793,0,0,0,0,0,0,0,0,0,0,0,0
AL050344.1,0,0,0,0,2,0,0,0,0,0,0,0
AL031432.1,0,0,0,0,0,0,0,0,0,0,0,0
SYF2,1049,1050,1885,1677,2395,1976,1830,2768,1460,1824,983,771
AL031432.4,39,62,98,56,84,77,73,72,83,53,18,13
AL031432.5,6,10,13,6,16,12,3,5,3,2,3,2
RSRP1,1455,1583,2952,2328,3411,2661,2182,2882,1556,1667,698,724
AL031432.3,9,8,10,8,18,16,8,13,10,11,8,6
RHD,0,0,0,0,0,0,0,1,4,0,0,0
TMEM50A,2754,3202,6050,4631,7395,4547,4492,6120,2855,3569,1699,1295
RHCE,13,17,16,10,19,27,11,12,10,18,6,2
MACO1,1134,1160,2352,1922,3008,1840,1983,2645,1355,1494,822,637
LDLRAP1,1006,1419,1983,1780,2645,1511,1536,1819,949,1088,549,348
AL606491.1,4,8,12,6,17,16,5,5,4,13,7,4
MAN1C1,153,133,312,158,288,201,232,242,114,126,81,44
AL031280.1,3,2,5,0,2,0,0,4,5,0,0,0
SELENON,3527,3931,7563,5319,9535,5233,5545,6848,3545,4100,2362,1612
AL020996.1,22,14,17,16,23,21,19,19,15,12,8,4
MTFR1L,1102,1301,2199,1632,2543,1589,1487,1828,1031,1175,525,470
AL020996.3,0,0,0,0,0,0,0,0,0,0,0,0
AUNIP,767,921,1532,1381,2148,1288,1460,1687,894,1170,570,376
AL033528.2,1,1,3,2,1,0,4,2,0,0,2,0
PAQR7,112,167,275,186,295,227,213,257,102,136,83,43
STMN1,9902,10938,17883,13650,21401,13378,14514,20001,9555,12055,6637,4311
PAFAH2,300,403,623,494,822,458,480,545,345,311,192,123
EXTL1,27,31,36,15,45,44,18,35,12,9,8,5
SLC30A2,8,8,4,3,6,8,6,8,4,4,2,4
AL391650.2,0,1,1,0,0,0,2,0,0,0,0,0
TRIM63,1,0,0,0,0,2,0,1,4,0,0,0
PDIK1L,523,538,1243,878,1412,887,868,970,572,608,360,261
FAM110D,12,18,26,14,34,22,19,14,8,14,6,4
C1orf232,0,0,0,0,2,0,0,0,0,1,0,0
AL391650.1,11,16,35,17,29,20,11,13,3,12,4,4
ZNF593,0,0,0,0,0,0,0,0,0,0,0,0
CNKSR1,36,73,128,83,148,94,75,87,65,51,34,20
CATSPER4,0,0,0,0,2,4,0,1,6,0,2,0
CEP85,2047,2184,4330,3338,5481,3205,2923,3537,1802,1986,1028,827
SH3BGRL3,571,730,1223,1046,1964,1017,1257,1800,1018,1346,688,452
UBXN11,1138,1360,2057,1485,2336,1415,1418,2032,1025,1162,471,392
CD52,0,2,0,0,1,0,2,0,0,2,0,0
CRYBG2,39,66,95,62,153,70,76,113,53,43,30,25
ZNF683,0,0,0,0,0,0,0,0,2,0,0,0
LIN28A,0,0,4,0,2,4,2,0,0,0,2,0
DHDDS,805,1003,1500,1274,2158,1256,1261,1698,789,971,483,339
AL513365.2,9,9,12,3,13,15,11,21,16,8,7,7
HMGN2,12414,13808,23699,21648,35200,18899,18981,25789,12893,16957,7704,6057
RPS6KA1,1218,1503,2537,1802,3073,1708,1728,2042,1029,1270,500,406
AL512408.1,14,36,32,27,54,36,43,29,11,9,12,12
ARID1A,3364,3718,7118,6221,10150,6211,5935,7803,4317,4465,3012,1948
PIGV,357,390,629,392,637,389,280,467,194,281,113,92
ZDHHC18,1307,1685,2941,2408,3720,2186,2022,2291,1006,1365,652,378
SFN,24,36,44,48,79,41,41,70,24,34,26,30
GPN2,1209,1369,2199,1746,2794,1545,1733,1798,996,1192,461,405
AL034380.1,0,0,0,0,0,0,0,0,0,0,0,0
GPATCH3,454,562,919,773,1116,696,703,976,438,535,215,181
NUDC,5751,7264,10429,9513,15460,9090,9699,14039,7418,9576,4376,3234
NR0B2,0,0,0,0,4,6,2,0,0,0,0,0
KDF1,4,2,10,2,4,10,6,8,2,10,2,6
TRNP1,366,450,690,487,879,544,474,607,263,413,188,124
TENT5B,44,48,82,62,96,71,56,76,26,42,14,4
SLC9A1,644,716,1360,1189,1811,1137,987,1309,631,661,412,288
AL590640.1,0,0,0,0,0,0,0,0,0,0,0,0
WDTC1,2000,2321,3660,2836,4810,2919,2726,3495,1711,2114,990,777
TMEM222,900,1071,1715,1320,2041,1130,1135,1175,648,787,322,255
SYTL1,114,148,192,165,233,163,137,150,69,92,39,37
MAP3K6,593,821,1211,743,1353,853,800,979,502,524,307,193
FCN3,5,2,9,3,0,4,4,3,1,2,0,2
CD164L2,4,0,2,2,4,8,0,4,0,8,0,0
GPR3,54,78,137,75,110,83,115,142,73,96,38,24
WASF2,3919,4455,7787,5993,9848,5886,5681,7773,4180,4475,3004,2028
FO393419.2,1,2,0,0,0,0,0,0,0,0,0,1
BX293535.1,5,3,6,2,11,0,6,7,1,1,0,0
AHDC1,597,656,1195,959,1528,849,923,1033,544,709,380,232
FGR,0,0,0,0,0,2,0,2,0,0,0,0
LINC02574,0,0,0,0,0,0,0,0,0,0,0,0
IFI6,283,328,440,262,372,228,295,468,206,299,141,108
AL445490.1,4,2,0,0,4,2,6,0,0,0,0,1
AL020997.5,2,2,6,4,10,3,0,2,2,0,0,2
FAM76A,620,595,1215,1112,1683,1022,992,1294,591,801,391,341
STX12,1974,1957,4307,3302,4990,3376,3117,3842,2095,2311,1178,937
AL020997.2,1,1,7,10,3,9,1,15,2,5,0,0
AL020997.3,4,1,20,7,14,13,2,5,2,1,1,2
AL020997.4,2,0,2,0,0,0,0,0,0,0,0,0
PPP1R8,3597,3986,7159,6160,9340,5366,5181,6831,3219,4044,2065,1458
THEMIS2,283,317,470,335,543,341,334,419,194,270,107,72
RPA2,5044,6114,9441,7583,12488,6785,7112,9110,4302,5410,2564,1919
SMPDL3B,454,604,890,668,1100,639,615,812,362,510,214,181
AL512288.1,0,0,1,5,0,3,4,3,1,0,0,0
XKR8,639,750,1223,999,1520,855,831,971,487,670,296,192
EYA3,2415,2528,4604,3836,6139,3531,3542,3939,2186,2419,1342,933
PTAFR,43,42,38,55,91,36,56,56,46,30,26,12
DNAJC8,8882,11185,17157,15534,24927,14754,16331,25562,12623,16899,9236,6532
ATP5IF1,5978,8013,11944,10038,16147,9521,11316,18363,8643,11411,5774,4238
AL353622.1,289,343,611,410,665,570,476,590,312,325,198,110
AL353622.2,1,11,8,6,4,11,7,3,0,1,1,0
SESN2,4092,4871,7927,4928,8287,6975,4894,6306,3051,3329,1477,1363
MED18,746,904,1305,985,1675,918,853,1303,665,881,337,283
PHACTR4,2381,2592,4924,4087,6829,4284,4155,5196,2950,3310,2101,1439
RCC1,8821,10816,18090,15538,24334,13947,12805,16293,8194,10177,4922,3626
SNHG3,3538,4517,6798,5723,8693,5589,5028,5954,3012,4046,1841,1358
TRNAU1AP,1009,1415,1917,1654,2424,1547,1415,1884,943,1193,511,446
SNHG12,1191,1524,2203,1825,2696,1639,2030,2273,1130,1336,654,431
TAF12,938,1073,1687,1602,2607,1408,1740,2597,1417,1676,1145,619
RAB42,9,6,7,9,13,4,9,14,8,3,0,2
LINC01715,22,29,37,24,33,30,23,40,18,21,13,13
AL360012.1,1,0,5,12,19,2,5,16,3,3,0,2
GMEB1,777,883,1565,1089,1880,1226,1223,1489,813,840,484,353
YTHDF2,4354,4469,9062,7288,11131,6354,6596,7993,4089,4773,2567,1829
OPRD1,96,111,202,117,170,151,134,170,82,105,44,28
AL009181.1,0,1,1,4,0,0,0,0,0,0,0,0
EPB41,5984,6610,12296,9992,15374,9362,9108,11280,5652,6020,3637,2655
TMEM200B,18,17,41,26,23,11,44,33,2,21,4,10
AL357500.1,0,1,0,4,1,0,0,2,0,5,0,0
SRSF4,7539,8960,14642,12448,19084,12138,14064,19509,10524,12405,6135,4496
MECR,1284,1745,2657,1697,2657,1674,1514,1814,799,1021,481,376
AL590729.1,5,11,16,12,21,9,9,8,2,3,8,3
PTPRU,4106,4938,7927,5245,9285,6274,5091,6630,3274,3622,1940,1585
LINC01756,2,0,0,2,2,2,0,0,0,0,0,0
AC092265.1,0,0,0,0,0,0,0,0,0,0,0,0
AL645944.2,0,0,0,0,0,0,0,0,0,0,0,0
LINC01648,0,0,0,0,0,0,0,0,0,0,0,0
AL137076.1,0,0,0,0,0,0,0,0,0,0,0,0
AL161638.2,0,0,0,0,0,0,0,0,0,0,0,0
AL161638.1,0,0,0,0,0,0,0,0,0,0,0,0
MATN1,26,19,51,32,26,37,35,33,20,32,13,5
MATN1-AS1,45,51,82,36,79,57,56,76,18,44,32,16
AL137857.1,0,0,0,2,0,0,0,0,0,0,0,0
LAPTM5,12,14,5,13,19,9,2,12,7,9,3,2
AL137027.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01778,0,0,1,4,6,2,2,1,0,2,0,0
AL445235.1,0,0,0,0,0,2,0,0,0,1,2,0
SDC3,1704,1888,3253,2497,4253,2749,2140,3197,1645,1960,1125,755
PUM1,5235,4992,10942,8488,13576,8454,8027,10018,5294,5451,3013,2305
NKAIN1,217,314,482,341,577,345,304,496,226,296,209,124
SNRNP40,3835,5023,7895,6556,10887,5906,5742,6997,3598,4782,2155,1511
ZCCHC17,1539,1830,2949,2392,3804,2302,2498,3597,1940,2419,1450,853
AL451070.1,0,0,3,0,0,2,0,0,0,0,0,0
FABP3,41,63,114,88,152,83,83,86,50,72,28,28
SERINC2,615,718,1160,812,1372,734,810,1059,541,624,303,263
LINC01226,0,0,0,0,3,1,0,0,4,2,0,0
AC114488.1,2,2,2,1,8,4,2,2,0,0,2,4
TINAGL1,0,2,8,6,2,4,2,4,4,4,0,0
HCRTR1,10,13,24,7,11,21,8,12,9,6,2,2
PEF1,4315,5631,8871,6580,11379,6186,5525,6618,3157,4666,1852,1409
AC114488.2,4,3,12,5,16,10,10,6,5,6,4,3
AC114488.3,1,0,0,0,0,1,0,0,1,1,2,0
COL16A1,7,21,20,18,32,27,9,27,2,21,9,0
ADGRB2,1287,1677,2633,1446,2599,1772,1497,2065,890,1065,500,361
AL354919.2,0,0,0,1,0,0,1,0,0,0,0,0
SPOCD1,66,57,79,40,84,72,65,98,51,41,28,20
AL354919.1,1,1,0,0,0,0,1,0,0,0,0,0
AL136115.2,2,2,7,3,6,8,4,2,5,0,0,0
PTP4A2,8084,8890,16677,13923,21989,13694,14076,18250,9448,11533,6238,4638
AL136115.1,0,5,5,1,2,2,0,2,2,0,1,2
AL136115.3,0,3,0,0,1,0,0,0,0,0,0,0
KHDRBS1,11733,12934,23954,20308,29827,19184,17939,22249,11289,14050,7209,5376
AL445248.1,0,1,3,0,5,1,2,2,3,2,0,0
TMEM39B,923,1152,1805,1512,2337,1436,1196,1453,702,888,532,276
KPNA6,3799,4345,7176,6111,9574,5852,5138,5844,3065,3663,2163,1467
AL049795.2,0,0,0,0,0,0,0,0,0,1,0,0
TXLNA,5940,6799,11610,8965,14343,8127,8844,10609,5330,5777,2786,2094
CCDC28B,635,909,1328,726,1216,792,738,943,515,533,247,156
AL049795.1,8,10,18,20,15,19,5,19,7,7,0,2
IQCC,423,534,780,716,1057,653,699,938,399,527,302,173
DCDC2B,27,19,41,28,23,34,24,37,19,8,7,4
TMEM234,379,629,844,590,957,633,570,770,345,456,219,158
EIF3I,10962,13813,20057,15882,26464,14492,14500,18090,8936,11826,5328,4199
FAM167B,4,7,19,7,10,5,6,16,7,8,0,2
LCK,3,5,6,2,2,2,0,6,0,0,0,0
HDAC1,10296,12038,19170,15229,22953,13684,13453,16434,7954,9406,4924,3660
MARCKSL1,15741,21553,32579,26004,43896,25156,23133,29289,14020,20777,9096,6153
AL109945.1,4,3,3,9,7,0,2,1,5,2,2,3
TSSK3,39,26,61,33,47,55,39,42,19,19,7,9
FAM229A,415,601,766,588,881,628,627,711,373,461,199,178
BSDC1,3146,3551,6110,4566,7108,4839,4310,4923,2531,2819,1372,892
ZBTB8B,381,330,642,443,739,516,489,526,330,339,198,102
ZBTB8A,570,538,1074,791,1364,835,905,1017,580,672,340,250
ZBTB8OS,895,1135,1721,1608,2436,1619,1648,2575,1162,1510,718,617
RBBP4,9156,10255,16627,13432,19731,12528,12695,15013,7613,9084,4671,3252
SYNC,29,40,58,58,75,45,50,41,32,26,16,19
AC114489.1,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1522,2110,2352,4321,3121,5586,3372,2896,3396,1668,2234,1211,732
YARS,11327,13172,21312,17239,27265,18406,15907,20341,10512,12596,6286,4977
S100PBP,1471,1395,2748,1763,3039,2027,1939,2459,1293,1393,736,511
FNDC5,71,102,186,127,215,155,146,171,88,97,62,42
HPCA,28,37,34,26,34,16,16,49,18,34,7,13
TMEM54,242,407,478,329,594,363,331,454,179,382,130,111
AL031602.2,2,2,2,1,2,5,2,1,1,0,1,1
RNF19B,1092,1489,2174,1524,2638,1610,1704,2200,1172,1336,639,463
AL020995.1,2,7,9,4,4,8,3,6,2,6,0,4
AK2,10932,12735,22038,18158,29550,17673,18487,24179,12166,15119,7730,5377
AZIN2,249,334,518,298,566,333,325,417,182,264,87,93
TRIM62,423,508,847,692,1052,602,636,683,358,411,226,161
AL662907.3,0,0,0,1,0,3,0,1,0,0,0,0
ZNF362,1058,1259,2060,1549,2656,1730,1626,2392,1197,1466,822,587
AL513327.3,7,3,6,7,6,6,2,3,3,6,5,0
A3GALT2,0,2,4,1,1,4,1,0,0,0,1,0
AL513327.1,55,47,104,76,114,77,72,127,67,70,45,18
PHC2,2757,3326,5307,3785,6168,3684,3259,4010,1857,2509,1094,823
AL513327.2,8,25,19,22,22,17,12,16,5,3,0,10
ZSCAN20,287,308,602,363,666,404,450,468,261,298,155,101
CSMD2,1,0,2,7,2,4,8,3,3,3,3,0
HMGB4,0,0,0,0,0,0,0,0,0,0,0,0
CSMD2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
C1orf94,0,0,0,0,0,0,0,0,0,0,0,0
AC099565.1,0,0,0,0,0,0,0,0,0,0,0,0
SMIM12,1045,1276,1958,1796,2668,1551,1649,2020,1096,1306,632,449
GJB5,0,0,1,2,4,2,2,1,2,0,0,0
GJB4,0,0,0,0,0,0,0,0,0,0,0,0
AL121988.1,0,0,0,0,0,0,0,0,0,0,0,0
GJB3,1,0,0,0,2,2,0,0,0,0,0,0
GJA4,0,0,2,0,0,7,0,0,1,1,0,2
AL122010.1,0,0,0,0,0,0,0,0,0,0,0,0
DLGAP3,34,48,65,44,80,50,54,77,34,46,40,10
TMEM35B,275,252,436,312,504,318,291,422,226,261,116,95
ZMYM6,622,673,1487,1229,1678,1111,1084,1295,704,794,523,367
ZMYM1,1095,694,2384,1991,2687,1943,1781,1979,1247,1254,720,521
AL590434.1,0,4,6,2,8,4,3,6,2,0,0,0
SFPQ,17367,20462,37798,37015,56095,32386,35509,45919,24604,29365,16478,11639
ZMYM4,3446,3472,6877,5744,8276,5617,5508,7072,3696,3750,2565,1700
ZMYM4-AS1,0,0,0,0,0,1,0,0,0,0,0,0
KIAA0319L,1806,2318,3639,2604,4439,2532,2498,2973,1701,1616,929,719
NCDN,1932,2304,4046,3592,5747,2934,2765,3201,1510,1632,986,636
AC004865.2,5,10,15,14,6,2,5,6,1,7,0,3
TFAP2E,14,20,35,20,29,32,34,17,17,15,15,7
PSMB2,5999,6832,11649,10555,16818,9650,9033,11632,5646,7909,3878,2760
C1orf216,442,572,789,605,887,575,583,678,423,472,167,160
CLSPN,2082,2149,4057,3391,5172,3371,3938,4216,2356,2357,1647,1082
AL354864.1,1,2,2,3,2,2,4,2,0,0,0,1
AGO4,721,753,1413,908,1416,1106,1045,1226,728,638,364,266
AGO1,2326,2488,4424,3755,5966,3760,3533,3785,2139,2244,1181,872
AL139286.3,2,0,1,1,0,2,4,4,4,2,0,0
AL139286.2,0,0,0,0,0,0,0,0,0,0,0,0
AGO3,710,773,1589,1278,1764,1325,1331,1325,909,844,415,273
AL138787.2,0,0,7,3,4,2,3,2,0,3,0,2
TEKT2,52,50,90,52,79,33,40,63,38,35,24,18
ADPRHL2,1016,1475,2113,1396,2444,1381,1314,1728,857,1010,408,308
COL8A2,0,0,4,2,2,6,4,0,2,2,0,0
TRAPPC3,1759,1981,3157,2588,4203,2262,2481,3368,1727,2199,1058,760
MAP7D1,3431,4424,6701,5098,8604,5192,5793,7995,4029,4747,2354,1679
THRAP3,7512,8480,14560,12084,18524,12619,12578,17641,9105,9308,5644,4428
SH3D21,386,553,663,542,784,525,597,723,428,444,213,128
EVA1B,0,0,0,0,0,0,0,0,0,0,0,0
AL591845.1,4,6,14,3,14,25,6,14,7,4,8,0
STK40,2000,2508,4225,3057,5089,2946,2666,3640,1688,1985,1047,717
LSM10,995,1311,1934,1676,2834,1393,1407,1704,812,1168,401,346
OSCP1,186,247,329,275,420,301,295,393,192,162,137,87
MRPS15,2779,3395,5216,4577,7307,4211,4098,5886,2907,3873,1889,1403
CSF3R,0,0,0,0,5,0,0,2,0,0,0,0
AL596257.1,0,0,0,0,0,0,0,0,0,0,0,0
AC117945.2,0,0,0,0,0,0,0,0,0,0,0,0
AC117945.1,0,0,0,0,0,0,0,0,0,0,0,0
GRIK3,2,2,0,2,4,2,4,0,0,0,2,4
AL031430.1,0,0,0,0,0,0,0,0,0,0,0,0
AL353604.1,0,0,0,0,0,0,0,0,1,0,0,0
LINC01137,10,13,26,16,18,10,31,9,20,14,4,5
ZC3H12A,174,235,344,284,507,223,299,374,195,240,126,74
MEAF6,1801,1695,3328,2838,4308,2598,2683,3722,1833,2079,1259,971
SNIP1,637,834,1268,1078,1702,1020,961,1345,646,750,412,319
DNALI1,13,22,24,14,36,16,26,25,22,38,14,16
GNL2,3561,4144,7015,6203,8888,5400,6117,8058,4029,5014,2763,2118
AL513220.1,0,0,0,0,0,0,0,0,0,0,0,0
RSPO1,4,0,0,0,2,2,2,5,4,2,0,0
C1orf109,1311,1443,2628,2170,3279,1914,1994,2292,1284,1399,763,568
CDCA8,1934,2190,3792,2986,4860,2872,2705,3547,1905,2240,1128,845
EPHA10,103,155,182,156,271,145,113,168,83,78,40,22
MANEAL,863,1157,1802,1425,2425,1254,1154,1267,574,681,343,240
AL929472.3,0,0,0,0,0,0,0,0,0,0,0,0
YRDC,1062,1520,2136,1711,2416,1280,1402,1452,713,888,419,272
C1orf122,1002,1348,1726,1354,2196,1233,954,1216,506,884,278,215
MTF1,609,623,1156,954,1433,794,864,1133,622,538,391,223
AL929472.2,0,0,0,0,0,0,0,0,0,0,0,0
INPP5B,713,781,1444,991,1541,1089,1019,1198,530,611,332,241
SF3A3,5713,6623,10389,9434,14644,9201,9300,12406,6274,7794,3858,3182
